"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"4","abril","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","44"
"4","abril","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"3","març","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","29"
"2","febrer","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","34"
"1","gener","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"1","gener","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"1","gener","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","2"
"1","gener","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"1","gener","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","35"
"12","desembre","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"12","desembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","3"
"12","desembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"12","desembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","54"
"11","novembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","31"
"11","novembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"10","octubre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","50"
"9","setembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","58"
"9","setembre","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","4"
"9","setembre","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","2"
